filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	Rainbow	red_median	red_stdev	green_median	green_stdev	blue_median	blue_stdev
01 Lemon Yellow.jpg	1	73	76.6872	110	97.6425	34	22.3375	#C5BB98	72	76.6576	63	77.7346	12	74.7386
02 Canary Yellow.jpg	2	95	74.0274	250	105.3798	35	23.4352	#FEF604	95	74.0796	84	62.8977	1	4.3014
03 Light Orange.jpg	3	66	62.268	102	38.3769	38	79.9071	#F5C792	65	65.2437	60	58.748	41	35.1468
04 Dark Orange.jpg	4	107	65.1087	165	70.8336	9	84.3014	#FC9B26	107	65.1784	39	47.327	38	4.8999
05 Orange Red.jpg	5	79	56.9483	115	19.2872	2	121.2396	#CE7E81	79	56.9483	43	37.2838	44	37.7983
06 Fire Red.jpg	6	153	55.7618	151	65.8048	1	115.9951	#FD573F	153	55.8381	63	6.5018	63	3.5295
07 Crimson.jpg	7	93	68.6131	255	100.0486	0	108.2695	#E60004	93	68.6538	1	1.5269	1	2.1139
08 Carmine.jpg	8	84	83.25	203	30.0953	233	85.5441	#FF00AE	84	83.2532	17	26.2086	51	56.1271
09 Magenta.jpg	9	70	73.7393	191	80.4068	221	75.2699	#F967EE	70	73.6788	4	40.7851	50	74.8384
10 Pink.jpg	10	107	67.9559	151	64.3638	236	122.4205	#FF76B4	107	68.007	41	22.7806	42	41.2377
11 Purple.jpg	11	78	61.9647	94	71.0771	203	14.3477	#D429FE	74	44.0391	41	4.5863	77	62.0405
12 Violet.jpg	12	91	58.0502	202	30.2117	202	75.9077	#620F96	79	22.3926	19	7.278	91	63.2077
13 Blue.jpg	13	110	56.9922	169	66.6741	138	48.1	#24C1F8	37	3.9041	90	45.4757	110	57.0297
14 Marine Blue.jpg	14	84	93.8576	247	104.4556	127	55.4093	#02FEFF	2	3.8126	80	92.4631	84	93.7142
15 Blue Green.jpg	15	75	90.3	249	93.0658	116	46.6845	#37FDFA	1	13.9211	75	90.1567	55	90.5036
16 Emerald.jpg	16	107	60.3344	113	54.9695	63	25.2915	#B9E2A0	77	50.5181	107	60.3892	50	46.7831
17 Grass Green.jpg	17	106	66.123	153	61.2532	97	35.7356	#7DE0A9	30	37.6701	106	66.1789	49	57.6825
18 Sap Green.jpg	18	89	66.048	129	64.8075	82	35.7827	#54A558	34	38.2387	89	66.078	29	45.4794
